номер;файл;размер;sha256;результат
12;12. Приказ о назначении ответственного за пожарную безопасность.docx;36316;7c0a448c85786c99d2c9b594f589851cf2acc9c2acd535a50c50f432e59eb683;"Есть локальный приказ; не отдельное обязательное приложение по п. 8; фактическое исполнение не подтверждено."
13;13. Инструкция о мерах пожарной безопасности.docx;36780;9373942c78c438c6bffbc249f91eaf2987e2bbb7bc6bf961857977237e440f5a;"Есть инструкция; пожарная экспертиза отдельно, не подтверждает комплектность ТЗКИ."
14;14. Журнал инструктажей по пожарной безопасности.docx;36389;1333aff6f1b956862ac7b89cb5b04ab196582ca66ef340dbe5ca5003fea68cf7;"Есть таблица инструктажей; подписи пусты, факт проведения не подтверждён."
15;15. Акт о наличии первичных средств пожаротушения.docx;36674;6f684badb3ae357f373cf44712f53248e1b04bf8cb6a826ec0c76e1932b4d529;"Есть акт с пустыми подписями; оснащение физически не осматривалось."
16;16. Политика обработки персональных данных.docx;36936;8b18c4b9575cf0679e051ec804f1bfa0c5e495bcf4c86b55ec76469c4c3da7e3;"Есть политика ПДн; реальное размещение/исполнение не подтверждены; отдельная полная экспертиза ПДн не выполнена."
17;17. Приказ о назначении ответственного за организацию обработки ПДн.docx;36250;fd9b1531e1096ae4e937b707022b912ef838115cf98a051139bb9625bc2afe72;"Есть приказ № 5 и утверждение политики; подписи пусты."
18;18. Уведомление об обработке персональных данных.docx;37140;9ee9fef1c57db15a99b22833d1844a46e68588f7812df27faedb9d3ba59c59e6;"Есть текст уведомления; нет подтверждения подачи в Роскомнадзор; не документ о получении лицензии ФСТЭК."
19;19. Модель нарушителя.docx;37213;ad2399ddd0fa4ba71f322357a19df2fe3acb05df512860457528e868ccdd5dc5;"Есть модель нарушителя; нет отдельного приказа № 4; не полная оценка угроз."
20;20. Выписка из ЕГРЮЛ.docx;36539;c11722cdb625cc96e33a900c5f57e1f5528d0d8173753c1102f4b76ed1cb477c;"Редактируемый текст выписки, пустая подпись и неверные идентификаторы; оригинал ФНС не представлен."
21;21. Устав ООО (краткая форма).docx;36607;44374c9d7b4bbe380ac8358f0552243ec5207c5d0c1e02942429300d1666b675;"Есть краткий текст; содержание устава неполно по ст. 12 Закона № 14-ФЗ."
22;22. Договор об оказании услуг по ТЗКИ.docx;36992;d6b1ff389ccb73dd26bb9444645b643724cc7cb1a9146379681a27fda7517f08;"Противоречие: уже имеющаяся лицензия в преамбуле и ожидание в п. 1.2; не обязательное приложение."
23;23. Положение о коммерческой тайне.docx;36626;2e506b2f849d6f881eddcb74472e52fd8dc29bf7dae623bd204499c5d7bf1866;"Есть положение; отдельного приказа № 6, подтверждений исполнения режима нет."
24;24. Приложение 1 к заявлению — Сведения о персонале.docx;17592;756256efd3714ee70befc13d94cf91f83bd53b17a47eaff3189e896f3a80616a;"Официальная форма есть, 2 л.; нет кадровых и образовательных подтверждений."
25;25. Приложение 2 к заявлению — Защищаемые помещения.docx;17784;e6e1ef0913ab3969748c0bda4b19fa9d74137a7a1ddd88d90e0f7ed27df14bbc;"Официальная форма есть, 2 л.; нет аттестатов, реквизитов утверждения, раздела СЗИ; назначение помещений уточнить."
26;26. Приложение 3 к заявлению — Аттестованные АС.docx;19831;ddcf8e2f0bc5651fed03a96957917ccbb504c7426c3cb425f804e6f4b9741e8f;"Официальная форма есть, 5 л.; нет паспорта АС, аттестата, полного плана и существенных реквизитов."
27;27. Приложение 4 к заявлению — Описание техпроцесса.docx;17771;5ed646bda49b2461d0b17facd10535a60297ac1883810df2afe83b1b68de13d6;"Официальная форма есть, 2 л.; разделы 2.7, 2.8, 3.2 пусты, 2.6 неполон."
28;28. Приложение 5 к заявлению — Перечень защищаемых ресурсов.docx;16502;640b232cbfcd9ec818f219b755eb21783c3c3f4aa8749381c7b26e7d6841ad3d;"Официальная форма есть, 1 л.; полноту сверить с фактическим составом АС и паспортом."
29;29. Приложение 6 к заявлению — Сведения об оборудовании.docx;20025;767edd22369d27fda986a9f88d4f3694c642b0bb0ce3232b23c02b8e1dcbd590;"Официальная форма есть, 5 л.; оснащение по перечню 2026 не подтверждено, нет метрологических копий/прав на весь состав."
30;30. Приложение 7 к заявлению — Техдокументация и стандарты.docx;17187;00228900b784ef38eca8981f3bfd90fe19da4be3c87c977904531bfb2b66a371;"Официальная форма есть, 1 л.; 5 названий недостаточно для подтверждения перечня, ошибочна дата методики и включена неприменяемая методика2008."
31;31. Приложение 8 к заявлению — Опись прилагаемых документов.docx;17124;655cd72b385875cf0a5a6bdd430d357e6a89ba8cb0c5fa0f3b5ce4dd8a23d37a;"Официальная форма есть, 1 л.; итоги не заполнены до получения копий, есть устаревшее упоминание пошлины."
32;32. Сведения об условиях доступности для инвалидов.docx;36385;625a33b2f14c0b6a6e6f156475853133875149d5bdfb5f80059d7d2c215016b6;"Есть сведения о доступности; фактические условия не обследованы, не отдельный пункт пакета ФСТЭК."
33;33. Договор на вывоз ТБО и санитарное обслуживание.docx;36628;970591b20726b035edb2cc3566e7a75f110206f4a6e595fde6a485d9e6710003;"Есть договор с пустыми подписями; не обязательное приложение по ТЗКИ; исполнение не подтверждено."
34;34. Договор купли-продажи оборудования.docx;36583;6e40cbce7c31a6134a191ad6a3769ea9ffbe6a2e5f40e7d0a0c4550d84630653;"Есть общий договор; нет акта передачи, идентификации экземпляров и прав на весь заявленный состав."
35;35. Технический паспорт защищаемого помещения.docx;36915;55f58b2878223ff77d4b984ef876ebc1d6e973f556e0df5f41459a38a9aedb3e;"Есть два паспорта помещений; нет утверждения; не заменяют паспорт АС и аттестаты."
36;36. Акт классификации автоматизированной системы.docx;36524;eb08eb22fcab87ee12d0c2bff8afdd7401f76e4a7e4595b3e85bf52cbb179ba4;"Есть акт; ошибочные 3Г / 4-й класс ИСПДн; завершённую аттестацию не подтверждает."
37;37. Сертификат соответствия СЗИ.png;44451;6e5c9386df10f3c7dcfc7e66d016c3b1da67da430d1797212cf7ba0ee6dd77b0;"Изображение Код-Скан; подлинность не подтверждена, не заменяет пять сертификатов из № 9."
