Номер в перечне2024;Наименование из перечня;Выбранные работы;Результат сверки;Актуальность
11;Требования о защите информации, содержащейся в информационных системах общего пользования. Утверждены приказом ФСБ России и ФСТЭК России от 31 августа 2010 г. N 416/489;а, б, г, е;"Не указано в приложении № 7; отдельный исходный файл не найден";Редакцию и замену проверять при комплектовании
12;Требования к системам обнаружения вторжений (с изменениями, утвержденными приказом ФСТЭК России от 1 марта 2017 г. N 39). Утверждены приказом ФСТЭК России от 6 декабря 2011 г. N 638. Для служебного пользования;г, е;"Не указано в приложении № 7; отдельный исходный файл не найден";Редакцию и замену проверять при комплектовании
13;Требования к средствам антивирусной защиты с изменениями (Изменения утверждены приказом ФСТЭК России от 1 марта 2017 г. N 39). Утверждены приказом ФСТЭК России от 20 марта 2012 г. N 28. Для служебного пользования;г, е;"Не указано в приложении № 7; отдельный исходный файл не найден";Редакцию и замену проверять при комплектовании
14;Требования к средствам доверенной загрузки (с изменениями, утвержденными приказом ФСТЭК России от 1 марта 2017 г. N 39). Утверждены приказом ФСТЭК России от 27 сентября 2013 г. N 119. Для служебного пользования;г, е;"Не указано в приложении № 7; отдельный исходный файл не найден";Редакцию и замену проверять при комплектовании
15;Требования к средствам контроля съемных машинных носителей информации (с изменениями, утвержденными приказом ФСТЭК России от 1 марта 2017 г. N 39). Утверждены приказом ФСТЭК России от 28 июля 2014 г. N 87. Для служебного пользования;г, е;"Не указано в приложении № 7; отдельный исходный файл не найден";Редакцию и замену проверять при комплектовании
16;Требования к межсетевым экранам. Утверждены приказом ФСТЭК России от 9 февраля 2016 г. N 9. Для служебного пользования;б, г, е;"Не указано в приложении № 7; отдельный исходный файл не найден";Редакцию и замену проверять при комплектовании
17;Требованиям безопасности информации к операционным системам, утвержденным приказом ФСТЭК России от 19 августа 2016 г. N 119. Для служебного пользования;б, г, е;"Не указано в приложении № 7; отдельный исходный файл не найден";Редакцию и замену проверять при комплектовании
18;Требования по безопасности информации к средствам защиты информации от воздействий, направленных на отказ в обслуживании информационных (автоматизированных) систем, утверждены приказом ФСТЭК России от 30 июля 2018 г. N 132. Для служебного пользования;б, г, е;"Не указано в приложении № 7; отдельный исходный файл не найден";Редакцию и замену проверять при комплектовании
19;Требования по безопасности информации к средствам обеспечения безопасности дистанционной работы в информационных (автоматизированных) системах. Утверждены приказом ФСТЭК России от 16 февраля 2021 г. N 32. Для служебного пользования;б, г, е;"Не указано в приложении № 7; отдельный исходный файл не найден";Редакцию и замену проверять при комплектовании
20;Требования по безопасности информации к средствам виртуализации. Утверждены приказом ФСТЭК России от 27 октября 2022 г. N 187. Для служебного пользования;б, г, е;"Не указано в приложении № 7; отдельный исходный файл не найден";Редакцию и замену проверять при комплектовании
21;Требования по безопасности информации к средствам контейнеризации. Утверждены приказом ФСТЭК России от 4 июля 2022 г. N 118. Для служебного пользования;б, г, е;"Не указано в приложении № 7; отдельный исходный файл не найден";Редакцию и замену проверять при комплектовании
22;Требования по безопасности информации к системам управления базами данных. Утверждены приказом ФСТЭК России от 14 апреля 2023 г. N 64. Для служебного пользования;б, г, е;"Не указано в приложении № 7; отдельный исходный файл не найден";Редакцию и замену проверять при комплектовании
23;Требования по безопасности информации к многофункциональным межсетевым экранам уровня сети. Утверждены приказом ФСТЭК России от 7 марта 2023 г. N 44. Для служебного пользования;б, г, е;"Не указано в приложении № 7; отдельный исходный файл не найден";Редакцию и замену проверять при комплектовании
24;Требования к обеспечению защиты информации в автоматизированных системах управления производственными и технологическими процессами на критически важных объектах, потенциально опасных объектах, а также объектах, представляющих повышенную опасность для жизни и здоровья людей и для окружающей природной среды (с изменениями, утвержденными приказом ФСТЭК России от 23 марта 2017 г. N 49, приказом ФСТЭК России от 9 августа 2018 г. N 138 и приказом ФСТЭК России от 15 марта 2021 г. N 46). Утверждены приказом ФСТЭК России от 14 марта 2013 г. N 31;б, г, е;"Не указано в приложении № 7; отдельный исходный файл не найден";Редакцию и замену проверять при комплектовании
25;Требования к созданию систем безопасности значимых объектов критической информационной инфраструктуры Российской Федерации и обеспечению их функционирования (с изменениями, утвержденными приказом ФСТЭК России от 27 марта 2019 г. N 64 и приказом ФСТЭК России от 20 апреля 2023 г. N 69). Утверждены приказом ФСТЭК России от 21 декабря 2017 г. N 235;б, г, е;"Не указано в приложении № 7; отдельный исходный файл не найден";Редакцию и замену проверять при комплектовании
26;Требования по обеспечению безопасности значимых объектов критической информационной инфраструктуры Российской Федерации (с изменениями, утвержденными приказом ФСТЭК России от 9 августа 2018 г. N 138, приказом ФСТЭК России от 26 марта 2019 г. N 60, приказом ФСТЭК России от 20 февраля 2020 г. N 35 и приказом ФСТЭК России от 28 августа 2024 г. N 159). Утверждены приказом ФСТЭК России от 25 декабря 2017 г. N 239;б, г, е;"Не указано в приложении № 7; отдельный исходный файл не найден";Редакцию и замену проверять при комплектовании
27;Методика оценки угроз безопасности информации. Утверждена ФСТЭК России 5 февраля 2021 г.;б, г;"В № 30 указано с ошибочной датой 18.02.2021; текст скачан при проверке";Редакцию и замену проверять при комплектовании
28;Методика тестирования обновлений безопасности программных, программно-аппаратных средств. Утверждена ФСТЭК России 28 октября 2022 г.;б, г;"Не указано в приложении № 7; отдельный исходный файл не найден";Редакцию и замену проверять при комплектовании
29;Методика оценки уровня критичности уязвимостей программных, программно-аппаратных средств. Утверждена ФСТЭК России 28 октября 2022 г.;б, г;"Не указано в приложении № 7; отдельный исходный файл не найден";Редакцию и замену проверять при комплектовании
30;Временная методика оценки защищенности помещений от утечки речевой конфиденциальной информации по акустическому и виброакустическому каналам. Утверждена 8 ноября 2001 г. Для служебного пользования;а, г, е;"Не указано в приложении № 7; отдельный исходный файл не найден";Редакцию и замену проверять при комплектовании
31;Временная методика оценки защищенности помещений от утечки речевой конфиденциальной информации по каналам электроакустических преобразований во вспомогательных технических средствах и системах. Утверждена 8 ноября 2001 г. Для служебного пользования;а, г, е;"Не указано в приложении № 7; отдельный исходный файл не найден";Редакцию и замену проверять при комплектовании
32;ГОСТ Р 58833-2020 Защита информации. Идентификация и аутентификация. Общие положения;а, б, г, е;"Не указано в приложении № 7; отдельный исходный файл не найден";Редакцию и замену проверять при комплектовании
33;ГОСТ Р 58256-2018 Защита информации. Управление потоками информации в информационной системе. Формат классификационных меток;а, б, г, е;"Не указано в приложении № 7; отдельный исходный файл не найден";Редакцию и замену проверять при комплектовании
34;ГОСТ РО 0043-004-2013 Защита информации. Аттестация объектов информатизации. Программа и методики аттестационных испытаний. Для служебного пользования;а, б, г;"Не указано в приложении № 7; отдельный исходный файл не найден";Редакцию и замену проверять при комплектовании
35;ГОСТ 19.401-78 ЕСПД Текст программы. Требования к содержанию и оформлению;е;"Не указано в приложении № 7; отдельный исходный файл не найден";Редакцию и замену проверять при комплектовании
36;ГОСТ Р 59853-2021 Информационные технологии. Комплекс стандартов на автоматизированные системы. Автоматизированные системы. Термины и определения;а, б, г, е;"Не указано в приложении № 7; отдельный исходный файл не найден";Редакцию и замену проверять при комплектовании
37;ГОСТ 34.201-2020 Информационные технологии. Комплекс стандартов на автоматизированные системы. Виды, комплектность и обозначение документов при создании автоматизированных систем;а, г;"Не указано в приложении № 7; отдельный исходный файл не найден";Редакцию и замену проверять при комплектовании
38;ГОСТ Р 59793-2021 Информационные технологии. Комплекс стандартов на автоматизированные системы. Автоматизированные системы. Стадии создания;а, г, е;"Не указано в приложении № 7; отдельный исходный файл не найден";Редакцию и замену проверять при комплектовании
39;ГОСТ 34.602-2020 Информационные технологии. Комплекс стандартов на автоматизированные системы. Техническое задание на создание автоматизированной системы;а, г;"Не указано в приложении № 7; отдельный исходный файл не найден";Редакцию и замену проверять при комплектовании
40;ГОСТ Р 59792-2021 Информационные технологии. Комплекс стандартов на автоматизированные системы. Виды испытаний автоматизированных систем;а, г, е;"Не указано в приложении № 7; отдельный исходный файл не найден";Редакцию и замену проверять при комплектовании
41;ГОСТ Р ИСО/МЭК 13335-1-2006 Информационная технология. Методы и средства обеспечения безопасности. Часть 1. Концепция и модели менеджмента безопасности информационных и телекоммуникационных технологий;б, г, е;"Не указано в приложении № 7; отдельный исходный файл не найден";Редакцию и замену проверять при комплектовании
42;ГОСТ Р ИСО/МЭК ТО 18044-2007 Информационная технология. Методы и средства обеспечения безопасности. Менеджмент инцидентов информационной безопасности;б, г;"Не указано в приложении № 7; отдельный исходный файл не найден";Редакцию и замену проверять при комплектовании
43;ГОСТ Р ИСО/МЭК 27001-2021 Информационная технология. Методы и средства обеспечения безопасности. Системы менеджмента информационной безопасности. Требования;а, б, г, е;"Не указано в приложении № 7; отдельный исходный файл не найден";Редакцию и замену проверять при комплектовании
44;ГОСТ Р ИСО/МЭК 27002-2021 Информационная технология. Методы и средства обеспечения безопасности. Свод правил по мерам и средствам обеспечения информационной безопасности;а, б, г, е;"Не указано в приложении № 7; отдельный исходный файл не найден";Редакцию и замену проверять при комплектовании
45;ГОСТ Р ИСО/МЭК 27003-2021 Информационные технологии. Методы и средства обеспечения безопасности. Системы менеджмента информационной безопасности. Руководство по реализации;а, б, г, е;"Не указано в приложении № 7; отдельный исходный файл не найден";Редакцию и замену проверять при комплектовании
46;ГОСТ Р ИСО/МЭК 27004-2021 Информационные технологии. Методы и средства обеспечения безопасности. Менеджмент информационной безопасности. Мониторинг, оценка защищенности, анализ и оценивание;а, б, г, е;"Не указано в приложении № 7; отдельный исходный файл не найден";Редакцию и замену проверять при комплектовании
47;ГОСТ Р ИСО/МЭК 27005-2010 Информационная технология. Методы и средства обеспечения безопасности. Менеджмент риска информационной безопасности (взамен ГОСТ Р ИСО/МЭК ТО 13335-3-2007 и ГОСТ Р ИСО/МЭК ТО 13335-4-2007);б, г;"Не указано в приложении № 7; отдельный исходный файл не найден";Редакцию и замену проверять при комплектовании
48;ГОСТ Р ИСО/МЭК 27033-1-2011 Информационная технология. Методы и средства обеспечения безопасности. Безопасность сетей. Часть 1. Обзор и концепции (взамен ГОСТ Р ИСО/МЭК 18028-1-2008);б, г, е;"Не указано в приложении № 7; отдельный исходный файл не найден";Редакцию и замену проверять при комплектовании
49;ГОСТ Р ИСО/МЭК 27033-3-2014 Информационная технология. Методы и средства обеспечения безопасности. Безопасность сетей. Часть 3. Эталонные сетевые сценарии. Угрозы, методы проектирования и вопросы управления;б, г, е;"Не указано в приложении № 7; отдельный исходный файл не найден";Редакцию и замену проверять при комплектовании
50;ГОСТ Р 50414-92 Совместимость технических средств электромагнитная. Оборудование для испытаний. Камеры экранированные. Классы, основные параметры, технические требования и методы испытаний;а, г, е;"Не указано в приложении № 7; отдельный исходный файл не найден";Редакцию и замену проверять при комплектовании
51;ГОСТ Р 50922-2006 Защита информации. Основные термины и определения;а, б, г, е;"Наименование указано в № 30; исходный текст стандарта не найден";Редакцию и замену проверять при комплектовании
52;ГОСТ Р 51241-2008 Средства и системы контроля и управления доступом. Классификация. Общие технические требования. Методы испытаний;б, г, е;"Не указано в приложении № 7; отдельный исходный файл не найден";Редакцию и замену проверять при комплектовании
53;ГОСТ Р 51275-2006 Защита информации. Объект информатизации. Факторы, воздействующие на информацию. Общие положения;а, б, г, е;"Не указано в приложении № 7; отдельный исходный файл не найден";Редакцию и замену проверять при комплектовании
54;ГОСТ Р 51320-99 Совместимость технических средств электромагнитная. Радиопомехи индустриальные. Методы испытаний технических средств - источников индустриальных радиопомех;а, г, е;"Не указано в приложении № 7; отдельный исходный файл не найден";Редакцию и замену проверять при комплектовании
55;ГОСТ Р 51583-2014 Защита информации. Порядок создания автоматизированных систем в защищенном исполнении. Общие положения;а, б, г, е;"Не указано в приложении № 7; отдельный исходный файл не найден";Редакцию и замену проверять при комплектовании
56;ГОСТ Р 51624-2000 Защита информации. Автоматизированные системы в защищенном исполнении. Общие требования. Для служебного пользования;а, б, г, е;"Не указано в приложении № 7; отдельный исходный файл не найден";Редакцию и замену проверять при комплектовании
57;ГОСТ Р 52069.0-2013 Защита информации. Система стандартов. Основные положения;а, б, г, е;"Не указано в приложении № 7; отдельный исходный файл не найден";Редакцию и замену проверять при комплектовании
58;ГОСТ Р 52447-2005 Защита информации. Техника защиты информации. Номенклатура показателей качества;а, б, е;"Не указано в приложении № 7; отдельный исходный файл не найден";Редакцию и замену проверять при комплектовании
59;ГОСТ Р 52448-2005 Защита информации. Обеспечение безопасности сетей электросвязи. Общие положения;а, б, г;"Не указано в приложении № 7; отдельный исходный файл не найден";Редакцию и замену проверять при комплектовании
60;ГОСТ Р 56545-2015 Защита информации. Уязвимости информационных систем. Правила описания уязвимостей;б, г, е;"Не указано в приложении № 7; отдельный исходный файл не найден";Редакцию и замену проверять при комплектовании
61;ГОСТ Р 56546-2015 Защита информации. Уязвимости информационных систем. Классификация уязвимостей информационных систем;б, г, е;"Не указано в приложении № 7; отдельный исходный файл не найден";Редакцию и замену проверять при комплектовании
62;ГОСТ Р 56938-2016 Защита информации. Защита информации при использовании технологий виртуализации. Общие положения;б, г, е;"Не указано в приложении № 7; отдельный исходный файл не найден";Редакцию и замену проверять при комплектовании
63;РД 50-682-89 Методические указания. Информационная технология. Комплекс стандартов и руководящих документов на автоматизированные системы. Основные положения;г, е;"Не указано в приложении № 7; отдельный исходный файл не найден";Редакцию и замену проверять при комплектовании
64;ГОСТ Р 59547-2021 Защита информации. Мониторинг информационной безопасности. Общие положения;Не применяется;Для выбранных работ отметок применимости нет;Редакцию и замену проверять при комплектовании
65;ГОСТ Р 59548-2022 Защита информации. Регистрация событий безопасности. Требования к регистрируемой информации;б, г, е;"Не указано в приложении № 7; отдельный исходный файл не найден";Редакцию и замену проверять при комплектовании
66;ГОСТ Р 59453.1-2021 Защита информации. Формальная модель управления доступом. Часть 1. Общие положения;б, г, е;"Не указано в приложении № 7; отдельный исходный файл не найден";Редакцию и замену проверять при комплектовании
67;ГОСТ Р 59453.2-2021 Защита информации. Формальная модель управления доступом. Часть 2. Рекомендации по верификации формальной модели управления доступом;б, г, е;"Не указано в приложении № 7; отдельный исходный файл не найден";Редакцию и замену проверять при комплектовании
68;ГОСТ Р 59709-2022 Защита информации. Управление компьютерными инцидентами. Термины и определения;б, г, е;"Не указано в приложении № 7; отдельный исходный файл не найден";Редакцию и замену проверять при комплектовании
69;ГОСТ Р 59710-2022 Защита информации. Управление компьютерными инцидентами. Общие положения;б, г, е;"Не указано в приложении № 7; отдельный исходный файл не найден";Редакцию и замену проверять при комплектовании
70;ГОСТ Р 59711-2022 Защита информации. Управление компьютерными инцидентами. Организация деятельности по управлению компьютерными инцидентами;б, г, е;"Не указано в приложении № 7; отдельный исходный файл не найден";Редакцию и замену проверять при комплектовании
71;ГОСТ Р 59712-2022 Защита информации. Управление компьютерными инцидентами. Руководство по реагированию на компьютерные инциденты;б, г, е;"Не указано в приложении № 7; отдельный исходный файл не найден";Редакцию и замену проверять при комплектовании
72;ГОСТ Р 70262.1-2022 Защита информации. Идентификация и аутентификация. Уровни доверия идентификации;б, г, е;"Не указано в приложении № 7; отдельный исходный файл не найден";Редакцию и замену проверять при комплектовании
73;ГОСТ Р 53114-2008 Защита информации. Обеспечение информационной безопасности в организации. Основные термины и определения;б, г, е;"Наименование указано в № 30; исходный текст стандарта не найден";Редакцию и замену проверять при комплектовании
74;ГОСТ Р 53113.1-2008 Информационная технология. Защита информационных технологий и автоматизированных систем от угроз информационной безопасности, реализуемых с использованием скрытых каналов. Часть 1. Общие положения;б, г, е;"Не указано в приложении № 7; отдельный исходный файл не найден";Редакцию и замену проверять при комплектовании
75;ГОСТ Р 53113.2-2009 Информационная технология. Защита информационных технологий и автоматизированных систем от угроз информационной безопасности, реализуемых с использованием скрытых каналов. Часть 2. Рекомендации по организации защиты информации, информационных технологий и автоматизированных систем от атак с использованием скрытых каналов;б, г, е;"Не указано в приложении № 7; отдельный исходный файл не найден";Редакцию и замену проверять при комплектовании
76;ГОСТ Р 56205-2014 Сети коммуникационные промышленные. Защищенность (кибербезопасность) сети и системы. Часть 1-1. Терминология, концептуальные положения и модели;б, г, е;"Не указано в приложении № 7; отдельный исходный файл не найден";Редакцию и замену проверять при комплектовании
77;ГОСТ Р 71753-2024 Защита информации. Система автоматизированного управления учетными записями и правами доступа. Общие требования.;б, г, е;"Не указано в приложении № 7; отдельный исходный файл не найден";Редакцию и замену проверять при комплектовании
